Time,Latitude,Longitude,AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),Abs_Altitude(m),mode,,
68849,0,0,1.78,8.44,-6.07,0,0,,
68997,0,0,3.98,10.4,-2.41,0,0,,
69123,0,0,2.85,10.61,-2.1,0,0,,
69259,0,0,2.52,10.09,-3.52,0,0,,
69410,0,0,4,9.86,-1.76,0,0,,
69561,0,0,1.14,9.23,-1.55,0,0,,
69740,0,0,3.87,9.52,-2.22,0,0,,
69866,0,0,3.02,9.67,-1.11,0,0,,
70014,0,0,-0.86,9.61,-4.33,0,0,,
70140,0,0,5,11.13,-0.24,0,0,,
70277,0,0,3.41,10.3,-2.37,0,0,,
70428,0,0,4.29,8.39,-2.96,0,0,,
70579,0,0,4.46,7.83,-3.73,0,0,,
70758,0,0,5.55,7.64,-4.17,0,0,,
70886,0,0,4,7.68,-4.27,0,0,,
71032,0,0,4.06,7.66,-4.15,0,0,,
71158,0,0,4.8,8.04,-4.31,0,0,,
71295,0,0,4.67,8.06,-3.67,0,0,,
71446,0,0,5.24,8.92,-3.88,0,0,,
71596,0,0,4.13,7.89,-3.88,0,0,,
71776,0,0,4.36,8.48,-2.83,0,0,,
71902,0,0,3.56,8.29,-3.39,0,0,,
72050,0,0,2.62,9.56,-4.02,0,0,,
72176,0,0,4.38,9.61,-1.7,0,0,,
72313,0,0,2.41,9.59,-2.41,0,0,,
72464,0,0,4.33,10.74,-3.27,0,0,,
72615,0,0,1.28,9.56,-1.93,0,0,,
72794,0,0,2.29,9.15,-3.67,0,0,,
72920,0,0,1.39,9.56,-3.69,0,0,,
73068,0,0,1.64,9.82,-3.73,0,0,,
73194,0,0,1.7,9.48,-3.96,0,0,,
73331,0,0,1.26,9.12,-4.02,0,0,,
73482,0,0,0.68,9.59,-4.19,0,0,,
73633,0,0,1.72,9.19,-4.33,0,0,,
73814,0,0,0.8,7.95,-4.42,0,0,,
73940,0,0,0.28,9.13,-4.23,0,0,,
74066,0,0,0.78,9.38,-5.03,0,0,,
74197,0,0,0.24,9.13,-4.9,0,0,,
74348,0,0,0.7,9.35,-4.56,0,0,,
74499,0,0,0.21,9.06,-5.01,0,0,,
74650,0,0,1.72,9.56,-4.84,0,0,,
74829,0,0,0.34,8.69,-4.21,0,0,,
74955,0,0,0.61,9.94,-4.42,0,0,,
75081,0,0,-0.34,8.64,-5.4,0,0,,
75215,0,0,-0.42,8.69,-5.59,0,0,,
75366,0,0,-1.16,8.62,-5.51,0,0,,
75517,0,0,-0.57,8.79,-4.82,0,0,,
75668,0,0,-2.41,9.1,-4.77,0,0,,
75848,0,0,-0.9,9.08,-5.42,0,0,,
75974,0,0,-1.6,8.64,-3.83,0,0,,
76100,0,0,-2.6,7.68,-4.79,0,0,,
76233,0,0,-0.36,9.4,-5.34,0,0,,
76384,0,0,-3.39,7.12,-5,0,0,,
76535,0,0,-1.37,8.56,-5.3,0,0,,
76686,0,0,-1.66,8.69,-4.98,0,0,,
76866,0,0,1.87,9.02,-2.66,0,0,,
76992,0,0,-0.82,10.26,-6.61,0,0,,
77118,0,0,0.24,8.77,-8.29,0,0,,
77251,0,0,1.01,11.01,-3.1,0,0,,
